id,name,name_en,brand,group,device,price_exec,price_bill,sap,tags
"KS-WB-01","에어댐퍼스위치","","우방","공용","건조기","","12000","",""
"KS-WB-02","도어스위치","door switch","우방","공용","","","6600","",""
"KS-WB-03","배수밸브","drain valve","우방","공용","세탁기","165000","302500","","#물빠짐부품 #드레인밸브"
"KS-WB-04","팬모터 ASSY","fan motor assy","우방","1단","건조기","","","",""
"KS-WB-05","브이벨트","v-belt","우방","공용","건조기","","12000","","#벨트"
"KS-WB-06","도어 브라켓","door bracket","우방","","세탁기","22000","55000","",""
"KS-WB-07","먼지필터","lint filter","우방","1단","건조기","","66000","","#린트필터"
"KS-WB-08","인버터통신선","","우방","공용","","","","",""
"KS-WB-09","SSR","SSR","우방","1단","","","","",""
"KS-WB-10","점화코일","ignition coil","우방","공용","건조기","35200","104500","","#이그나이터"
"KS-WB-11","팬","fan","우방","1단","건조기","49500","121000","",""
"KS-WB-12","팬모터","fan motor","우방","1단","건조기","","","",""
"KS-WB-13","도어캐치 ASSY","door catch assy","우방","공용","","44000","121000","",""
"KS-WB-14","디스플레이","display","우방","공용","","110000","181500","",""
"KS-WB-15","터치 보드","touch board","우방","공용","","","451000","","#터치PCB"
"KS-WB-16","릴레이 보드","relay board","우방","공용","","165000","230000","",""
"KS-WB-17","세제펌프","detergent pump","우방","공용","세탁기","88000","183700","",""
"KS-WB-18","통신 컨버터","","우방","공용","","","47000","",""
"KS-WB-19","온도센서","temp sensor","우방","공용","건조기","","71500","",""
"KS-WB-20","2단 팬모터","","우방","2단","건조기","","447700","",""
"KS-WB-21","2단 팬","","우방","2단","건조기","","132000","",""
"KS-WB-22","도어락어셈블리","door lock assy","우방","공용","","","445500","",""
"KS-WB-23","에어댐퍼","air damper","우방","공용","건조기","","12000","",""
"KS-DN-01","세제펌프","detergent pump","다뉴브","공용","세탁기","","62700","",""
"KS-DN-02","디스플레이","display","다뉴브","ET2","세탁기","","446600","",""
"KS-DN-03","써모스탯 110도","thermostat 110","다뉴브","공용","세탁기","","61600","12250569",""
"KS-DN-04","써모스탯 180도","thermostat 180","다뉴브","공용","세탁기","","55000","12250580",""
"KS-DN-05","팬모터","fan motor","다뉴브","ET1","건조기","","1430000","12149236",""
"KS-DN-06","팬모터","fan motor","다뉴브","ET2","건조기","","737000","12216204",""
"KS-DN-07","통신용 전원선","","다뉴브","ET1","세탁기","1650","5500","",""
"KS-DN-08","이그니션 퓨즈","ignition fuse","다뉴브","ET1","건조기","","13200","",""
"KS-DN-09","필터스위치","filter switch","다뉴브","공용","건조기","","41800","",""
"KS-DN-10","가스밸브","gas valve","다뉴브","공용","건조기","","365000","",""
"KS-DN-11","팬","fan","다뉴브","ET2","건조기","","147400","",""
"KS-DN-12","보드","board","다뉴브","ET2","건조기","","1059300","",""
"KS-DN-13","배수밸브","drain valve","다뉴브","공용","세탁기","","683100","","#물빠짐"
"KS-DN-14","메인보드","main board","다뉴브","공용","세탁기","","797500","12168823",""
"KS-DN-15","DOOR SEAL","door seal","다뉴브","공용","세탁기","","152900","","#도어씰 #고무패킹"
"KS-DN-16","도어락어셈블리","door lock assy","다뉴브","공용","세탁기","","569800","",""
"KS-DN-17","파워서플라이","power supply","다뉴브","세탁기","세탁기","","156200","",""
"KS-DN-18","팬모터 밸런싱 조정","","다뉴브","ET1","건조기","385000","495000","","#밸런싱"
"KS-DN-19","MCU","MCU","다뉴브","공용","","","619300","12131303",""
"KS-DN-20","PROBE","probe","다뉴브","DNW","","","70400","",""
"KS-DN-21","DOOR GASKET (ET2 2단)","door gasket","다뉴브","ET2","","","91300","",""
"KS-DN-22","ET1 디스플레이 ASSY","","다뉴브","ET1","","","","","#아쎄이 #아세이"
"KS-IT-01","랜선","LAN cable","IT","","IT장비","","","",""
"KS-IT-02","카드단말기 상부커버","","IT","","IT장비","","5000","",""
"KS-IT-03","키오스크 모니터","kiosk monitor","IT","","IT장비","","648000","",""
"KS-IT-04","아두이노 전원어댑터","","IT","","IT장비","","6000","",""
"KS-IT-05","하이드림 모니터","HiDream monitor","IT","","IT장비","352000","704000","",""
"KS-IT-06","하이드림 PC","HiDream PC","IT","","IT장비","572000","1144000","",""
"KS-IT-07","하이드림 일체형","HiDream AIO","IT","","IT장비","858000","1760000","",""
"KS-IT-08","고려디지웍스 모니터","","IT","","IT장비","1023000","1320000","",""
"KS-IT-09","스마트로 단말기","Smartro terminal","IT","","IT장비","305000","","",""
"KS-IT-10","KS net 단말기","","IT","","IT장비","44000","88000","",""
"KS-IT-11","KS net 단말기 소켓","","IT","","IT장비","11000","33000","",""
"KS-IT-12","USB","USB","IT","","IT장비","5000","6000","",""
"KS-IT-13","통신용 공유기/허브","router/hub","IT","","IT장비","26000","35200","",""
"KS-N-01","출장비","","공용","","","77000","77000","",""
"KS-N-02","백룸 도어락","","공용","","","68000","82500","",""
"KS-N-03","자동문스위치","","공용","","","16000","20900","",""
"KS-N-04","세제라인","","공용","","","","33000","",""
"KS-N-05","급수펌프","water pump","공용","","","","실행가","",""
"KS-N-06","퓨즈","fuse","공용","","","","5500","",""
"KS-N-07","전기온수기","","공용","","","","660000","",""
"KS-N-08","메인 차단기","main breaker","공용","","","12100","16500","",""
"KS-N-09","볼탑 15A","ball tap 15A","공용","","","실행가","330000","",""
"KS-N-10","볼탑 20A","ball tap 20A","공용","","","실행가","330000","",""
"KS-N-11","정수위밸브","","공용","","","실행가","330000","",""
"KS-N-12","확산등","","공용","소모품","","","6000","",""
"KS-VM-01","원격전원조정장치","","자판기","멀티","자판기","","","",""
"KS-VM-02","리프트부품","","자판기","멀티","자판기","","","",""
"KS-VM-03","스파이럴 (멀티)","spiral","자판기","멀티","자판기","","","",""
"KS-VM-04","스파이럴 (일반)","spiral","자판기","일반","자판기","","","",""
"KS-VM-05","브라켓","bracket","자판기","멀티","자판기","","","",""
