id,name,name_en,brand,group,device,price_exec,price_bill,sap,tags
KS-WB-01,WB_공용_에어댐퍼스위치,,우방,공용,건조기,,12000,,
KS-WB-02,WB_공용_도어스위치,door switch,우방,공용,,,6600,,
KS-WB-03,WB_공용_배수밸브,drain valve,우방,공용,세탁기,165000,302500,,#물빠짐부품 #드레인밸브
KS-WB-04,WB_1단_팬모터 ASSY,fan motor assy,우방,1단,건조기,,,,
KS-WB-05,WB_공용_브이벨트,v-belt,우방,공용,건조기,,12000,,#벨트
KS-WB-06,WB_도어 브라켓,door bracket,우방,,세탁기,22000,55000,,
KS-WB-37,WB_1단_먼지필터,lint filter,우방,1단,건조기,,66000,,#린트필터
KS-WB-39,WB_공용_인버터통신선,,우방,공용,,,,,,
KS-WB-41,WB_1단_SSR,SSR,우방,1단,,,,,,
KS-WB-42,WB_공용_점화코일,ignition coil,우방,공용,건조기,35200,104500,,#이그나이터
KS-WB-43,WB_1단_팬,fan,우방,1단,건조기,49500,121000,,
KS-WB-44,WB_1단_팬모터,fan motor,우방,1단,건조기,,,,
KS-WB-46,WB_공용_도어캐치 ASSY,door catch assy,우방,공용,,44000,121000,,
KS-WB-47,WB_공용_디스플레이,display,우방,공용,,110000,181500,,
KS-WB-48,WB_공용_터치 보드,touch board,우방,공용,,,451000,,#터치PCB
KS-WB-49,WB_공용_릴레이 보드,relay board,우방,공용,,165000,230000,,
KS-WB-52,WB_공용_세제펌프,detergent pump,우방,공용,세탁기,88000,183700,,
KS-N-07,DN_공용_세제펌프,detergent pump,다뉴브,공용,세탁기,,62700,,
KS-DN-08,DN_ET2_디스플레이,display,다뉴브,ET2,세탁기,,446600,,
KS-DN-09,DN_공용_써모스탯 110도,thermostat 110,다뉴브,공용,세탁기,,61600,12250569,
KS-DN-10,DN_공용_써모스탯 180도,thermostat 180,다뉴브,공용,세탁기,,55000,12250580,
KS-DN-11,DN_ET1_팬모터,fan motor,다뉴브,ET1,건조기,,1430000,12149236,
KS-DN-12,DN_ET2_팬모터,fan motor,다뉴브,ET2,건조기,,737000,12216204,
KS-DN-15,DN_ET1_통신용 전원선,,다뉴브,ET1,세탁기,1650,5500,,
KS-DN-19,DN_ET1_이그니션 퓨즈,ignition fuse,다뉴브,ET1,건조기,,13200,,
KS-DN-21,DN_공용_필터스위치,filter switch,다뉴브,공용,건조기,,41800,,
KS-DN-22,DN_공용_가스밸브,gas valve,다뉴브,공용,건조기,,365000,,
KS-DN-24,DN_ET2_팬,fan,다뉴브,ET2,건조기,,147400,,
KS-DN-25,DN_ET2_보드,board,다뉴브,ET2,건조기,,1059300,,
KS-DN-26,DN_공용_배수밸브,drain valve,다뉴브,공용,세탁기,,683100,,#물빠짐
KS-DN-27,DN_공용_메인보드,main board,다뉴브,공용,세탁기,,797500,12168823,
KS-DN-28,DN_공용_DOOR SEAL,door seal,다뉴브,공용,세탁기,,152900,,#도어씰 #고무패킹
KS-DN-29,DN_공용_도어락어셈블리,door lock assy,다뉴브,공용,세탁기,,569800,,
KS-DN-30,DN_세탁기_파워서플라이,power supply,다뉴브,세탁기,세탁기,,156200,,
KS-DN-31,DN_ET1_팬모터 밸런싱 조정,,다뉴브,ET1,건조기,385000,495000,,#밸런싱
KS-DN-32,DN_ET1_팬모터 밸런싱 조정,,다뉴브,ET1,건조기,385000,495000,,#밸런싱
KS-DN-33,DN_공용_MCU,MCU,다뉴브,공용,,,619300,12131303,
KS-DN-34,DNW_PROBE,probe,다뉴브,DNW,,,70400,,
KS-DN-35,DN_ET2_2단_DOOR GASKET,door gasket,다뉴브,ET2,,,91300,,
KS-N-60,DN_ET1_디스플레이 ASSY,,다뉴브,ET1,,,,,,
KS-N-61,WB_공용_통신 컨버터,,우방,공용,,,47000,,
KS-N-62,우방 도어 캐치 ASSy,,우방,공용,,44000,,,
KS-N-63,도어 브라켓,,우방,,,55000,55000,,
KS-N-64,도어 캐치,,우방,,,,121000,,
KS-N-65,터치 pcb,,우방,공용,,187000,,,#터치PCB
KS-N-66,전기온수기,,공용,,,,660000,,
KS-N-67,WB_공용_온도센서,temp sensor,우방,공용,건조기,,71500,,
KS-N-68,WBD_2단_팬모터,,우방,2단,건조기,,447700,,
KS-N-69,WB_2단_팬,,우방,2단,건조기,,132000,,
KS-N-70,하이드림 모니터,HiDream monitor,IT,,IT장비,,704000,,
KS-N-71,하이드림 PC,HiDream PC,IT,,IT장비,,1144000,,
KS-N-72,하이드림 일체형,HiDream AIO,IT,,IT장비,,1760000,,
KS-N-73,우방 1단 건조기 팬모터,,우방,1단,건조기,,121000,,
KS-N-74,WB_공용_도어락어셈블리,door lock assy,우방,공용,,,445500,,
