카테고리코드,그룹,물품명,실행가(VAT포함),청구가(VAT포함),고정가,활성상태,비용구분코드,브랜드코드,순번,기기,워런티청구여부
KS-WB-01,수리/교체,WB_공용_에어댐퍼스위치,,12000,TRUE,TRUE,KS,WB,01,건조기,1
KS-WB-02,수리/교체,WB_공용_도어스위치,,6600,TRUE,TRUE,KS,WB,02,,
KS-WB-03,수리/교체,WB_공용_배수밸브,165000,302500,TRUE,TRUE,KS,WB,03,세탁기,
KS-WB-04,수리/교체,WB_1단_팬모터 ASSY,,,FALSE,TRUE,KS,WB,04,건조기,
KS-WB-05,수리/교체,WB_공용_브이벨트,,12000,TRUE,TRUE,KS,WB,05,건조기,우방이 위에
KS-WB-06,수리/교체,WB_도어 브라켓,22000,55000,TRUE,TRUE,KS,WB,06,세탁기,
KS-N-07,수리/교체,DN_공용_세제펌프,,62700,TRUE,TRUE,KS,N,07,세탁기,
KS-DN-08,수리/교체,DN_ET2_디스플레이,,446600,TRUE,TRUE,KS,DN,08,세탁기,
KS-DN-09,수리/교체,DN_공용_써모스탯 110도,,61600,TRUE,TRUE,KS,DN,09,세탁기,
KS-DN-10,수리/교체,DN_공용_써모스탯 180도,,55000,TRUE,TRUE,KS,DN,10,세탁기,
KS-DN-11,수리/교체,DN_ET1_팬모터,,1430000,TRUE,TRUE,KS,DN,11,건조기,
KS-DN-12,수리/교체,DN_ET2_팬모터,,737000,TRUE,TRUE,KS,DN,12,건조기,
KS-N-13,수리/교체,출장비,77000,77000,FALSE,TRUE,KS,N,13,,
KS-N-14,수리/교체,랜선,,,FALSE,TRUE,KS,N,14,,
KS-N-15,수리/교체,백룸 도어락,68000,82500,TRUE,TRUE,KS,N,15,,
KS-N-16,수리/교체,자동문스위치,16000,20900,TRUE,TRUE,KS,N,16,,
KS-N-17,수리/교체,공용_세제라인,,33000,TRUE,TRUE,KS,N,17,,
KS-N-01,수리/교체,수리비,,,FALSE,TRUE,KS,N,01,,
KS-N-04,수리/교체,공용_급수펌프,,실행가,FALSE,TRUE,KS,N,04,,
KS-N-05,수리/교체,오디오 엠프,,실행가,FALSE,TRUE,KS,N,05,,
KS-N-06,수리/교체,강화도어,,실행가,FALSE,TRUE,KS,N,06,,
KS-N-07,수리/교체,카드단말기 상부커버,,5000,TRUE,TRUE,KS,N,07,,
KS-N-08,수리/교체,에어컨,,실행가,FALSE,TRUE,KS,N,08,,
KS-N-09,수리/교체,키오스크 모니터,,648000,TRUE,TRUE,KS,N,09,,
KS-N-14,수리/교체,공용_퓨즈,,5500,TRUE,TRUE,KS,N,14,,
KS-DN-15,수리/교체,DN_ET1_통신용 전원선,1650,5500,TRUE,TRUE,KS,DN,15,세탁기,
KS-DN-19,수리/교체,DN_ET1_이그니션 퓨즈,,13200,TRUE,TRUE,KS,DN,19,건조기,
KS-DN-21,수리/교체,DN_공용_필터스위치,,41800,TRUE,TRUE,KS,DN,21,건조기,
KS-DN-22,수리/교체,DN_공용_가스밸브,,365000,TRUE,TRUE,KS,DN,22,건조기,
KS-DN-24,수리/교체,DN_ET2_팬,,147400,TRUE,TRUE,KS,DN,24,건조기,
KS-DN-25,수리/교체,DN_ET2_보드,,1059300,TRUE,TRUE,KS,DN,25,건조기,
KS-DN-26,수리/교체,DN_공용_배수밸브,,683100,TRUE,TRUE,KS,DN,26,세탁기,
KS-DN-27,수리/교체,DN_공용_메인보드,,797500,TRUE,TRUE,KS,DN,27,세탁기,
KS-DN-28,수리/교체,DN_공용_ DOOR SEAL,,152900,TRUE,TRUE,KS,DN,28,세탁기,
KS-DN-29,수리/교체,DN_공용_도어락어셈블리,,569800,TRUE,TRUE,KS,DN,29,세탁기,
KS-DN-30,수리/교체,DN_세탁기_파워서플라이,,156200,TRUE,TRUE,KS,DN,30,세탁기,
KS-DN-31,수리/교체,DN_ET1_팬모터 밸런싱 조정,385000,495000,TRUE,TRUE,KS,DN,31,건조기,
KS-DN-32,수리/교체,DN_ET1_팬모터 밸런싱 조정,385000,495000,TRUE,TRUE,KS,DN,32,건조기,
KS-DN-33,수리/교체,DN_공용_MCU,,619300,TRUE,TRUE,KS,DN,33,,
KS-DN-34,수리/교체,DNW_PROBE,,70400,TRUE,TRUE,KS,DN,34,,
KS-DN-35,수리/교체,DN_ET2_2단_DOOR GASKET,,91300,TRUE,TRUE,KS,DN,35,,
KS-WB-37,수리/교체,WB_1단_먼지필터,,66000,TRUE,TRUE,KS,WB,37,건조기,
KS-WB-39,수리/교체,WB_공용_인버터통신선,,,FALSE,TRUE,KS,WB,39,,
KS-WB-41,수리/교체,WB_1단_SSR,,,FALSE,TRUE,KS,WB,41,,
