타임스탬프,부품 사진 첨부,브랜드 부품 식별 이름 (Full Name) - 해당 없으면 다음 질문에서 선택,일반/기타 부품 - 여기에도 없으면 다음 질문으로,위에도 다 없다! 직접 입력,제조사/공급업체 이름,적용 기기/모델,각인 또는 라벨 클로즈업 사진 (있는 경우),이 부품을 현장에서 뭐라고 부르나요? (여러 개면 쉼표로 구분),창고 선택,부품의 주요 기능 및 쓰임새,부품 사용 빈도수 평가
2026. 6. 17 오전 11:01:53,https://drive.google.com/open?id=1CPbnoxc0dv1vc2wtS0kK-hJYteb8-uU3,KS-N-69 | WB_2단_팬모터,,,WB-우방,WB-우방 건조기 2단,https://drive.google.com/open?id=1bkNYzWo2mg9hFOvCBsDIHhtV4zqZq6YP,팬모터,낙성대 백룸,,1
2026. 6. 17 오전 11:08:32,https://drive.google.com/open?id=1CcakMhnr8-cgIa8Ef0t1g1Igw4lhO2XA,,,일반자판기 열쇠뭉치,VM-멀티자판기,일반자판기,,,낙성대 백룸,,
2026. 6. 17 오후 2:47:10,,KS-DN-27 | DN_공용_메인보드,,,DN-다뉴브,"DN-다뉴브 세탁기 30KG, DN-다뉴브 세탁기 20KG",,다뉴브 메인보드,낙성대 백룸,메인보드,3
2026. 6. 17 오후 2:54:30,"https://drive.google.com/open?id=1OYat_4XF34Q0lJi8XemBdAaPq-z_tEH3, https://drive.google.com/open?id=1oMA-ehNy8T2oBm7kd4DqCO6VLoTB5Bts, https://drive.google.com/open?id=1xl75cnybnzfO7GNTAxqJRVCvy0sSxH_2, https://drive.google.com/open?id=1y7ChzD4WeDcPzZrRn8zOPMhp0Ezhl5uC",,,배전반스위치,배전반스위치,배전반스위치,,배전반스위치 전기,낙성대 백룸,배전반스위치,3
2026. 6. 17 오후 2:56:42,https://drive.google.com/open?id=1wcqxhvQsC8nxyRPMn1W_akrOxwL6kTtV,,,다뉴브 전원어댑터,다뉴브 전원어댑터,"DN-다뉴브 세탁기 30KG, DN-다뉴브 세탁기 20KG, DN-다뉴브 건조기 1단, DN-다뉴브 건조기 2단",,다뉴브 전원어댑터,낙성대 백룸,다뉴브 전원 어댑터_아두이노 연결 ,3
2026. 6. 17 오후 2:57:45,"https://drive.google.com/open?id=1k5uMVBc2srNn4za5J_0-DrIUYBTrQiqJ, https://drive.google.com/open?id=10URNEFnF4vyuTDZ59OjhyyERn2rxFTWI",,,인터넷 허브,인터넷 허브,인터넷 허브,,인터넷 허브,낙성대 백룸,인터넷 허브-이 모델 말고도 바뀔수있음,3
2026. 6. 17 오후 3:03:06,"https://drive.google.com/open?id=1TVtIvyKkMoJepJtoxhNqxkZK2RGToycg, https://drive.google.com/open?id=1-DyAwV_zx2ORZU8NbXwGLFq8Rldm9mls",KS-DN-09 | DN_공용_써모스탯 110도,,ET1-110도(가격이 같아서 2랑 같이 묶어서 선지출 했지만 다른 부품),DN-다뉴브,"DN-다뉴브 건조기 1단, DN-다뉴브 건조기 2단",,써모스탯 ET1-110도(가격이 같아서 2랑 같이 묶어서 선지출 했지만 다른 부품),낙성대 백룸,ET1-110도(가격이 같아서 2랑 같이 묶어서 선지출 했지만 다른 부품),3
2026. 6. 17 오후 3:04:51,"https://drive.google.com/open?id=1I61XrGXiRnbewyvPIcRYsamOxnc1_z9p, https://drive.google.com/open?id=134KQ873oqWccTmHZT5qRs9Yxh4jWCfSB",KS-DN-10 | DN_공용_써모스탯 180도,,ET2-180도(가격이 같아서 1랑 같이 묶어서 선지출 했지만 다른 부품),DN-다뉴브,"DN-다뉴브 건조기 1단, DN-다뉴브 건조기 2단",,써모스탯,낙성대 백룸,ET2-180도(가격이 같아서 1랑 같이 묶어서 선지출 했지만 다른 부품),3
2026. 6. 17 오후 3:07:28,"https://drive.google.com/open?id=13-k_XvQ59bXW1UcXy3ED3_WkIIrybCU9, https://drive.google.com/open?id=1lKflWQZuMjVrocutO1g_2qMxtuvL5TVM",,,레일등 연결 커넥터,레일등 커넥터,레일등 커넥터,,,낙성대 백룸,,3
2026. 6. 17 오후 3:11:02,"https://drive.google.com/open?id=1dVyAeeRI6mmAe-hKh1-YvBdqDskoMUl4, https://drive.google.com/open?id=1CFAof0YVRhJDyglq5vo1hlGf-JICwxQO",,,우방 가스 리셋 스위치,WB-우방,"WB-우방 건조기 1단, WB-우방 건조기 2단",,우방 가스 리셋 스위치,낙성대 백룸,우방 가스 리셋 스위치,3
2026. 6. 17 오후 3:12:29,https://drive.google.com/open?id=1TD4tkmTHrzNFAYk-rkK7HZ35ti5BgRFr,KS-WB-39 | WB_공용_인버터통신선,,,WB-우방,"WB-우방 세탁기 30KG, WB-우방 세탁기 20KG",,,낙성대 백룸,인버터와 세탁기랑 연결,3
2026. 6. 17 오후 3:15:06,"https://drive.google.com/open?id=1B4sAB8j5BGcUUB3ZwtoRTh4VXDD07DOY, https://drive.google.com/open?id=1uF2wDQ_X-7xk6Pa8z6gVLq6BLlUbVWQn",,,485 컨버터,WB-우방,"WB-우방 세탁기 30KG, WB-우방 세탁기 20KG, WB-우방 건조기 1단, WB-우방 건조기 2단",,,낙성대 백룸,세탁기와 pc(키오스크 연결시),3
