상태,도감ID,name,brand,group,device,photo_urls,nickname,location,memo,frequency
기존매칭,KS-WB-20,2단 팬모터,우방,2단,건조기,https://drive.google.com/open?id=1CPbnoxc0dv1vc2wtS0kK-hJYteb8-uU3,팬모터,낙성대 백룸,,
신규등록,,일반자판기 열쇠뭉치,자판기,일반,자판기,,열쇠뭉치,낙성대 백룸,,
기존매칭,KS-DN-14,메인보드,다뉴브,공용,세탁기,,다뉴브 메인보드,낙성대 백룸,메인보드,3
신규등록,,배전반스위치,공용,,,https://drive.google.com/open?id=1OYat_4XF34Q0lJi8XemBdAaPq-z_tEH3|https://drive.google.com/open?id=1oMA-ehNy8T2oBm7kd4DqCO6VLoTB5Bts|https://drive.google.com/open?id=1xl75cnybnzfO7GNTAxqJRVCvy0sSxH_2|https://drive.google.com/open?id=1y7ChzD4WeDcPzZrRn8zOPMhp0Ezhl5uC,배전반스위치 전기,낙성대 백룸,배전반스위치,3
신규등록,,다뉴브 전원어댑터,다뉴브,공용,,https://drive.google.com/open?id=1wcqxhvQsC8nxyRPMn1W_akrOxwL6kTtV,다뉴브 전원어댑터,낙성대 백룸,다뉴브 전원 어댑터_아두이노 연결,3
기존매칭,KS-IT-13,통신용 공유기/허브,IT,,IT장비,https://drive.google.com/open?id=1k5uMVBc2srNn4za5J_0-DrIUYBTrQiqJ|https://drive.google.com/open?id=10URNEFnF4vyuTDZ59OjhyyERn2rxFTWI,인터넷 허브,낙성대 백룸,인터넷 허브-이 모델 말고도 바뀔수있음,3
기존매칭,KS-DN-03,써모스탯 110도,다뉴브,공용,건조기,https://drive.google.com/open?id=1TVtIvyKkMoJepJtoxhNqxkZK2RGToycg|https://drive.google.com/open?id=1-DyAwV_zx2ORZU8NbXwGLFq8Rldm9mls,써모스탯 ET1-110도,낙성대 백룸,ET1-110도(가격이 같아서 2랑 같이 묶어서 선지출 했지만 다른 부품),3
기존매칭,KS-DN-04,써모스탯 180도,다뉴브,공용,건조기,https://drive.google.com/open?id=1I61XrGXiRnbewyvPIcRYsamOxnc1_z9p|https://drive.google.com/open?id=134KQ873oqWccTmHZT5qRs9Yxh4jWCfSB,써모스탯,낙성대 백룸,ET2-180도(가격이 같아서 1랑 같이 묶어서 선지출 했지만 다른 부품),3
신규등록,,레일등 연결 커넥터,공용,소모품,,https://drive.google.com/open?id=13-k_XvQ59bXW1UcXy3ED3_WkIIrybCU9|https://drive.google.com/open?id=1lKflWQZuMjVrocutO1g_2qMxtuvL5TVM,레일등 커넥터,낙성대 백룸,,3
신규등록,,우방 가스 리셋 스위치,우방,공용,건조기,https://drive.google.com/open?id=1dVyAeeRI6mmAe-hKh1-YvBdqDskoMUl4|https://drive.google.com/open?id=1CFAof0YVRhJDyglq5vo1hlGf-JICwxQO,우방 가스 리셋 스위치,낙성대 백룸,우방 가스 리셋 스위치,3
