id,name,name_en,brand,group,device,price_exec,price_bill,sap,tags,memo
KS-VM-06,일반자판기 열쇠뭉치,,자판기,일반,자판기,,,,,
KS-N-27,배전반스위치,,공용,,,,,,#배전반 #전기,배전반스위치
KS-DN-23,다뉴브 전원어댑터,,다뉴브,공용,,,,,,다뉴브 전원 어댑터_아두이노 연결
KS-N-28,레일등 연결 커넥터,,공용,소모품,,,,,,
KS-WB-24,우방 가스 리셋 스위치,,우방,공용,건조기,,,,#가스리셋,
KS-WB-25,485 컨버터,,우방,공용,,,,,"#키오스크연결",세탁기와 pc(키오스크 연결시)
KS-WB-26,급수 솔레노이드 밸브 브라켓,,우방,,세탁기,,,,,
KS-IT-18,시리얼 케이블,,IT,,IT장비,,,,"#키오스크 #자판기연결","키오스크/일반자판기 서로 연결할때"
KS-IT-19,인터넷 랜선(오픈물품),,IT,,IT장비,,,,#오픈물품,
KS-WB-27,급수 솔레노이드,,우방,,세탁기,,,,,
KS-WB-28,WB 가스 솔레노이드 밸브,,우방,공용,건조기,,,,#가스밸브,
KS-WB-29,우방 배선 커넥터,,우방,공용,건조기,,,,#팬모터동봉,"한번도 써본적 없음. 선과 선 연결용. 팬모터에 동봉되는듯. 주요부품 아님"
KS-VM-07,멀티자판기 부품(미식별),,자판기,멀티,자판기,,,,#이름확인필요,정확한 이름 파악 필요
KS-WB-01,에어댐퍼스위치,,우방,공용,건조기,,12000,,,건조기 작동시 에어뎀퍼가 닫히면서 스위치를 눌러줌
KS-WB-05,브이벨트,v-belt,우방,공용,건조기,,12000,,#벨트,"20세탁기-B86 / 30세탁기-B84 / 2단건조기-A68(많이씀) / 1단건조기-A68x1+A58x2(총3개). 58/68 외 구매필요(인터넷/청계천/구로)"
KS-WB-08,인버터통신선,,우방,공용,,,,,,인버터와 세탁기랑 연결
KS-WB-13,도어캐치 ASSY,door catch assy,우방,공용,,44000,121000,,,"보통 왼쪽 회색만(도어브라켓) / 회색+검정손잡이까지(도어캐치assay). 상황에 따라 하나만 or 통으로 교체. 별명: 도어브라켓/도어캐치아쎄이"
KS-WB-14,디스플레이,display,우방,공용,,110000,181500,,,"디스플레이와 터치보드가 한번에 발주해야 하는 형태인데 실제로 선지출은 따로 청구함"
KS-WB-15,터치 보드,touch board,우방,공용,,,451000,,#터치PCB,"디스플레이와 터치보드가 한번에 발주해야 하는 형태인데 실제로 선지출은 따로 청구함"
KS-DN-03,써모스탯 110도,thermostat 110,다뉴브,공용,건조기,,61600,12250569,,"ET1-110도. 가격이 같아서 180도랑 같이 묶어서 선지출 했지만 다른 부품"
KS-DN-04,써모스탯 180도,thermostat 180,다뉴브,공용,건조기,,55000,12250580,,"ET2-180도. 가격이 같아서 110도랑 같이 묶어서 선지출 했지만 다른 부품"
KS-IT-13,통신용 공유기/허브,router/hub,IT,,IT장비,26000,35200,,,"이 모델 말고도 바뀔수있음. 별명: 인터넷 허브"
KS-DN-16,도어락어셈블리,door lock assy,다뉴브,공용,세탁기,,569800,,,"어셈블리 = 아세이"
KS-N-09,볼탑 15A,ball tap 15A,공용,,,실행가,330000,,,"보통 연결부분만 쓰는 경우가 많음. 원이랑 막대는 종종 안쓸때가 생김(세트제품)"
